"Anthony Clements",,,,
"Brian Mead",,,,
"Claire Young","Q76738120","2019 United Kingdom general election","Thornbury and Yate","Liberal Democrats"
"Hadleigh Roberts",,,,
"Iain Hamilton",,,,
"Jenny Knight","Q63929098","2015 United Kingdom general election","Bath","English Democrats"
"Jenny Knight","Q63929098","2019 European Parliament election in South West England","South West England","English Democrats"
"Matthew Riddle",,,,
"Rob Logan","Q76448983","2019 United Kingdom general election","Thornbury and Yate","Labour Party"
"Roxanne Egan",,,,
"Russ Martin",,,,
"Thomas Beacham",,,,
