foundid,id,name,party,partyLabel,votes,election,electionLabel,ranking
,Q19957996,Luke Hall,Q9626,Conservative Party (UK),30202,Q30173038,General election 2019,1
Q76738120,,Claire Young,Q9624,Liberal Democrats (UK),17833,Q30173038,General election 2019,2
Q76448983,,Rob Logan,Q9630,Labour Party (UK),4208,Q30173038,General election 2019,3
,Q19957996,Luke Hall,Q9626,Conservative Party (UK),28008,Q25052149,General election 2017,1
Q76738120,,Claire Young,Q9624,Liberal Democrats (UK),15937,Q25052149,General election 2017,2
,,Brian Mead,Q9630,Labour Party (UK),6112,Q25052149,General election 2017,3
,,Iain Hamilton,Q9669,Green Party of England and Wales,633,Q25052149,General election 2017,4
,Q19957996,Luke Hall,Q9626,Conservative Party (UK),19924,Q3586935,General election 2015,1
,Q264116,Steve Webb,Q9624,Liberal Democrats (UK),18429,Q3586935,General election 2015,2
,,Russ Martin,Q10647,United Kingdom Independence Party,5126,Q3586935,General election 2015,3
,,Hadleigh Roberts,Q9630,Labour Party (UK),3775,Q3586935,General election 2015,4
,,Iain Hamilton,Q9669,Green Party of England and Wales,1316,Q3586935,General election 2015,5
,Q264116,Steve Webb,Q9624,Liberal Democrats (UK),25032,Q215622,General election 2010,1
,,Matthew Riddle,Q9626,Conservative Party (UK),17916,Q215622,General election 2010,2
,,Roxanne Egan,Q9630,Labour Party (UK),3385,Q215622,General election 2010,3
Q63929098,,Jenny Knight,Q10647,United Kingdom Independence Party,1709,Q215622,General election 2010,4
,,Thomas Beacham,,Independents Federation UK,126,Q215622,General election 2010,5
,,Anthony Clements,Q327591,Independent (politician),58,Q215622,General election 2010,6
